日期+Q3A1:CO30,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,日平均负荷,日最高负荷,日最低负荷,日类型,low,hih,avag
2002/11/1,1392.110962,1438.94397,1463.214966,1366.860962,1402.061035,1349.322021,1407.417969,1387.376953,1340.629028,1331.873047,1334.36499,1294.81897,1372.651001,1323.767944,1322.432983,1293.891968,1288.024048,1307.677002,1302.063965,1306.782959,1344.057007,1296.373047,1378.277954,1410.162964,1412.991943,1461.343994,1464.130981,1472.597046,1468.777954,1504.185059,1515.714966,1561.910034,1635.717041,1676.006958,1701.636963,1779.754028,1781.14502,1833.843018,1843.541016,1869.527954,1871.224976,1916.865967,1914.363037,1965.959961,1947.370972,1902.109009,1837.982056,1764.760986,1768.720947,1759.05896,1779.80896,1795.682983,1789.448975,1829.927002,1809.918945,1806.05896,1819.437988,1823.551025,1821.771973,1802.046997,1802.176025,1820.186035,1843.779053,1872.290039,1876.259033,1892.019043,1876.927002,1911.027954,1922.125,1966.157959,1996.334961,2031.562012,2041.709961,2008.582031,1977.269043,1982.837036,1952.125977,2012.672974,2018.442993,2001.620972,1910.619995,1910.520996,1871.411987,1913.656982,1901.025024,1866.958008,1806.802002,1820.91394,1776.104004,1709.739014,1668.956055,1629.692993,1600.687012,1614.831055,1572.499023,1501.415039,1687.979069,2041.709961,1288.024048,5,4,13,8.5
2002/11/2,1456.714966,1447.839966,1419.828003,1418.982056,1457.008057,1391.811035,1430.699951,1398.109985,1462.899048,1395.333984,1385.975952,1416.098999,1339.373047,1380.305054,1322.682007,1360.296997,1370.241943,1378.823975,1341.137939,1320.463989,1379.760986,1360.005981,1323.389038,1332.255005,1413.438965,1429.650024,1380.281006,1460.708008,1422.385986,1505.572021,1561.68396,1522.026001,1576.932983,1659.046997,1672.437988,1685.233032,1692.412964,1735.458008,1755.858032,1810.178955,1825.505005,1848.557983,1838.524048,1864.599976,1830.562988,1811.546997,1746.520996,1733.387939,1706.363037,1683.052979,1645.630981,1706.177002,1684.659058,1757.116943,1724.135986,1784.920044,1777.892944,1752.121948,1749.349976,1712.750977,1693.529053,1754.881958,1746.885986,1778.47998,1767.897949,1765.411011,1832.417969,1829.949951,1858.579956,1969.633057,2018.32605,1997.261963,2000.10498,1979.906006,1949.488037,1893.139038,1945.625977,1958.38501,1871.894043,1942.970947,1916.813965,1910.047974,1848.985962,1839.895996,1838.94104,1779.854004,1806.446045,1739.964966,1714.723999,1679.744019,1696.708008,1561.416016,1514.420044,1570.209961,1475.81604,1537.519043,1653.572882,2018.32605,1320.463989,6,6,16,11
2002/11/3,1421.651978,1472.944946,1383.19104,1428.107056,1364.172974,1393.344971,1338.238037,1384.525024,1364.499023,1292.536987,1347.141968,1276.098022,1340.05896,1287.473999,1286.442993,1368.833984,1329.264038,1328.532959,1377.343994,1395.831055,1349.390015,1319.859985,1374.73999,1375.890991,1398.337036,1372.593994,1434.18396,1458.422974,1442.619995,1498.876953,1503.088013,1597.338013,1605.965942,1641.019043,1674.55603,1679.267944,1670.338989,1742.942993,1738.276978,1785.657959,1745.44104,1815.925049,1793.109985,1857.437012,1852.645996,1836.873047,1721.415039,1727.089966,1618.849976,1660.605957,1691.876953,1729.099976,1723.975952,1713.11499,1718.583984,1680.448975,1747.657959,1734.738037,1700.977051,1670.426025,1669.730957,1754.073975,1739.817993,1760.847046,1759.447021,1790.993042,1868.645996,1854.814941,1833.097046,1928.050049,1969.012939,1993.979004,2002.046021,1941.154053,1956.230957,1936.56897,1971.126953,1883.973022,1954.120972,1957.053955,1927.063965,1856.146973,1829.613037,1842.993042,1840.641968,1796.547974,1738.177979,1741.469971,1623.052002,1642.337036,1575.625,1513.540039,1476.756958,1509.573975,1417.925049,1427.245972,1634.035319,2002.046021,1276.098022,7,5,14,9.5
2002/11/4,1412.474976,1409.319946,1360.922974,1384.235962,1387.103027,1377.54895,1379.506958,1370.322021,1381.717041,1333.432983,1321.244995,1365.697021,1353.952026,1339.800049,1298.400024,1358.449951,1370.082031,1365.821045,1325.781006,1326.975952,1367.146973,1355.22998,1332.902954,1389.560059,1403.187988,1507.146973,1472.735962,1526.468018,1498.380005,1548.563965,1588.197021,1675.985962,1698.927002,1770.965942,1776.536011,1815.118042,1828.859009,1872.223022,1875.473022,1936.223999,1935.458984,1975.505005,1977.125,2015.5,2023.546997,1983.348999,1890.805054,1795.637939,1752.75,1696.135986,1762.915039,1788.509033,1847.942993,1841.671997,1873.232056,1908.290039,1895.97998,1925.401978,1907.328003,1904.093994,1895.974976,1863.126953,1880.866943,1881.392944,1882.821045,1906.89502,1936.171021,2003.390991,1814.029053,1895.280029,1956.802002,1997.030029,2018.937988,1982.734985,2063.071045,2008.63501,2083.996094,2029.995972,1965.635986,2034.114014,2001.130981,1984.713989,1921.678955,1948.098999,1920.322998,1921.795044,1879.120972,1809.644043,1772.52002,1741.331055,1719.954956,1634.685059,1546.869019,1571.592041,1553.631958,1535.777954,1715.912188,2083.996094,1298.400024,1,2,16,9
2002/11/5,1433.027954,1464.238037,1414.088989,1466.384033,1442.970947,1416.125977,1368.427002,1429.347046,1393.874023,1354.02002,1358.196045,1410.137939,1311.651978,1402.234009,1326.837036,1423.328003,1398.922974,1448.832031,1389.233032,1431.494995,1394.176025,1399.146973,1437.311035,1428.677979,1466.437988,1467.358032,1495.017944,1546.430054,1570.531982,1584.035034,1615.969971,1644.098999,1703.301025,1750.035034,1760.495972,1805.381958,1809.352051,1843.662964,1841.29895,1894.462036,1900.594971,1948.259033,2006.333984,1953.541992,1984.792969,1911.156982,1893.022949,1818.875977,1798.020996,1780.029053,1796.968018,1793.81897,1864.449951,1853.921997,1883.342041,1900.860962,1839.31897,1835.988037,1876.317993,1869.067993,1820.735962,1873.246948,1896.853027,1895.25,1881.508057,1909.572998,1925.323975,1945.619019,1972.515015,2055.274902,2114.236084,2099.570068,2118.763916,2085.672119,2085.670898,2053.304932,2085.832031,2015.296997,1996.134033,1996.246948,2022.516968,1997.337036,2002.777954,1949.682007,1952.839966,1920.010986,1873.595947,1834.546997,1733.291016,1726.982056,1661.037964,1631.545044,1555.145996,1522.456055,1558.813965,1483.739014,1732.314425,2118.763916,1311.651978,2,6,21,13.5
2002/11/6,1425.529053,1444.255981,1481.135986,1468.702026,1414.224976,1429.373047,1401.918945,1418.422974,1427.703003,1422.394043,1393.859985,1378.944946,1342.71106,1372.265991,1379.035034,1368.692017,1338.725952,1359.995972,1395.661011,1383.994995,1388.237061,1402.88501,1462.232056,1435.55896,1519.609985,1492.162964,1601.258057,1581.255981,1554.057983,1584.624023,1600.555054,1605.446045,1665.224976,1687.411987,1738.136963,1828.641968,1807.156982,1836.438965,1865.993042,1927.848022,1910.786987,1957.267944,1972.970947,2000.234009,1966.197021,1903.115967,1826.531006,1817.43396,1731.744019,1769.192017,1773.573975,1735.755005,1833.389038,1807.218994,1797.001953,1829.895996,1821.041992,1867.30896,1829.998047,1875.141968,1884.965942,1861.55896,1830.67395,1840.134033,1878.761963,1863.130005,1914.177002,1943.703003,1978.277954,2030.889038,2039.661011,2054.539063,2030.198975,2060.433105,2047.89502,2014.06604,2035.672974,1976.655029,1995.098999,1957.072021,1939.723999,1961.583984,1954.125,1942.008057,1877.457031,1895.921021,1799.171021,1796.042969,1715.630005,1724.843018,1656.230957,1607.879028,1599.368042,1522.39502,1536.272949,1481.44104,1717.768126,2060.433105,1338.725952,3,8,22,15
2002/11/7,1464.524048,1454.984009,1454.988037,1422.61499,1371.300049,1374.785034,1412.260986,1366.130005,1389.531006,1330.588989,1385.829956,1309.322998,1361.838989,1314.994019,1303.369019,1373.64502,1325.032959,1316.040039,1380.411011,1339.197998,1343.980957,1388.109985,1370.847046,1400.920044,1466.494995,1493.017944,1485.176025,1563.296021,1554.084961,1522.584961,1537.472046,1626.802002,1644.187012,1696.218994,1720.223022,1762.472046,1777.550049,1797.041992,1806.134033,1826.894043,1877.233032,1900.759033,1937.954956,1956.64502,1923.619995,1922.342041,1806.729004,1786.114014,1745.384033,1692.546997,1721.967041,1743.064941,1732.43396,1816.172974,1793.014038,1816.626953,1838.708984,1796.925049,1833.239014,1773.270996,1833.553955,1843.046997,1811.489014,1872.090942,1863.661011,1917.588989,1950.970947,1970.297974,1958.727051,2030.609985,2079.697021,2027.744995,2062.320068,2049.528076,2043.02002,2037.56604,1968.978027,2001.822998,2004.107056,2002.677002,1939.141968,1974.446045,1949.255981,1925.875,1842.795044,1883.859009,1854.76001,1805.954956,1722.985962,1703.79895,1660.360962,1567.782959,1574.779053,1570.878052,1491.114014,1465.906982,1697.008776,2079.697021,1303.369019,4,5,20,12.5
2002/11/8,1477.462036,1468.209961,1407.545044,1437.812988,1378.098999,1440.772949,1416.004028,1373.692017,1407.350952,1409.282959,1328.947021,1370.865967,1346.458984,1368.594971,1312.791992,1317.442993,1362.78894,1320.901978,1362.324951,1389.282959,1333.633057,1398.447021,1384.650024,1436.43396,1422.724976,1495.582031,1546.395996,1560.371948,1522.589966,1601.694946,1609.946045,1661.296021,1710.598999,1730.651978,1804.230957,1819.967041,1824.08606,1914.238037,1866.680054,1885.829956,1971.003052,1989.427002,1988.198975,2019.537964,2002.345947,1960.948975,1858.979004,1854.890015,1808.389038,1761.926025,1760.353027,1845.196045,1789.588989,1871.099976,1859.879028,1841.744019,1901.796021,1893.328979,1834.56897,1848.906006,1923.21106,1859.520996,1855.503052,1926.149048,1912.125,1935.345947,1967.312012,1995.303955,2013.187012,2007.217041,2096.61499,2068.374023,2041.036011,2052.812012,2060.044922,2054.4021,2043.310059,2021.987061,2029.307983,2009.453979,2029.280029,1971.616943,1961.137939,1901.616943,1910.300049,1913.402954,1876.026001,1787.246948,1736.967041,1771.235962,1738.501953,1633.852051,1644.70105,1642.348022,1539.011963,1551.43396,1733.017572,2096.61499,1312.791992,5,3,14,8.5
2002/11/9,1529.857056,1493.812988,1449.512939,1424.668945,1513.340942,1480.281006,1437.775024,1447.848999,1362.360962,1426.269043,1373.646973,1372.642944,1397.802979,1350.737061,1425.41394,1389.279053,1434.291992,1384.631958,1402.223022,1414.868042,1458.254028,1376.612061,1407.332031,1476.599976,1520.67395,1439.504028,1560.534058,1489.223022,1496.918945,1528.063965,1619.098022,1651.715942,1616.380981,1714.339966,1758.801025,1779.732056,1811.927979,1794.901001,1873.312988,1860.843018,1895.655029,1868.362061,1886.555054,1959.104004,1906.472046,1884.795044,1829.498047,1757.871948,1755.569946,1700.703979,1686.844971,1743.485962,1750.269043,1767.44104,1726.465942,1728.436035,1720.588013,1784.285034,1726.630005,1785.019043,1727.703003,1782.724976,1750.230957,1788.359009,1768.708008,1849.828979,1828.119019,1915.312012,1978.800049,2007.770996,2031.425049,2071.323975,2013.536011,2031.182983,1986.260986,2007.279053,2000.369019,1924.230957,1966.024048,1896.985962,1946.489014,1921.891968,1864.452026,1911.998047,1892.63501,1895.213013,1786.537964,1792.188965,1726.508057,1722.249023,1632.975952,1634.531982,1581.915039,1588.696045,1553.772949,1468.203979,1696.422096,2071.323975,1350.737061,6,7,19,13
2002/11/10,1474.812988,1454.678955,1471.314941,1425.124023,1408.926025,1361.822998,1410.494019,1405.45105,1390.109009,1383.616943,1385.81604,1344.685059,1348.93103,1355.282959,1322.526978,1296.650024,1343.96106,1410.323975,1327.18396,1407.784058,1414.285034,1355.915039,1427.475952,1425.439941,1453.406982,1456.810059,1419.764038,1511.052002,1442.14502,1519.323975,1535.635986,1613.116943,1588.357056,1602.480957,1681.422974,1612.927979,1693.290039,1654.853027,1705.656006,1693.925049,1746.447998,1775.973999,1754.814941,1826.052979,1818.897949,1808.765015,1766.494995,1735.853027,1664.79895,1667.590942,1669.712036,1701.045044,1676.081055,1677.295044,1740.973022,1717.267944,1753.514038,1657.551025,1712.046021,1664.967041,1747.197021,1727.873047,1765.339966,1694.462036,1750.027954,1801.125977,1849.197021,1862.187988,1929.078003,1960.323975,1961.748047,1992.400024,1955.292969,1997.542969,1992.185059,1985.759033,1946.884033,1955.932007,1959.411011,1939.149048,1916.359985,1882.994019,1869.634033,1806,1830.338013,1791.564941,1827.995972,1720.637939,1736.894043,1693.100952,1631.69104,1536.765991,1547.80603,1484.415039,1491.96106,1444.853027,1646.448463,1997.542969,1296.650024,7,8,17,12.5
